Data extracted on 09/09/2024 14:35:22 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Total,,
Age class,,From 35 to 44 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),46.2,29,12.3,12.5
Belgium,37.8,26.1,18.4,17.7
Bulgaria,60.8,19.5,10.2,9.5
Czechia,41,32.4,13.2,13.4
Denmark,28.5,35.8,15.2,20.6
Germany,:,:,:,:
Estonia,30.9,37.9,15.5,15.7
Ireland,32.9,31.2,11.9,24.1
Greece,54.4,32.8,8.4,4.3
Spain,45.7,36.5,10.2,7.6
France,37.1,30.9,14.7,17.3
Croatia,54.5,22.6,14.9,8
Italy,66.2,15.2,8.5,10.1
Cyprus,67.2,20.7,7.7,4.4
Latvia,53,21.9,14.4,10.7
Lithuania,43.9,32.8,11.8,11.5
Luxembourg,24,50.9,11.1,14
Hungary,48.7,31.9,12.2,7.3
Malta,55.4,29.1,7.6,7.9
Netherlands,30.6,34.2,20.6,14.6
Austria,35.3,31.8,17,15.8
Poland,42.8,26.2,13.7,17.3
Portugal,53.7,33.7,7.5,5.1
Romania,68.6,23.7,5.6,2.2
Slovenia,37.3,31.5,13.6,17.7
Slovakia,52.6,31.4,9.5,6.5
Finland,25.5,31.2,18.3,24.9
Sweden,28.6,33.1,17.7,20.5
Norway,28.1,32.3,18.3,21.3
Switzerland,17.8,35.2,22.1,24.9
Montenegro,68.8,17.1,8.1,6
Serbia,65,22.2,8.9,3.9
Türkiye,69.7,16.8,6,7.6
,,,,
Special value,,,,
:,not available,,,
