Data extracted on 09/09/2024 14:35:30 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Females,,
Age class,,From 35 to 44 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),19.1,35.4,21.4,24.1
Belgium,16.2,27,27,29.9
Bulgaria,23.1,30,24.6,22.4
Czechia,12.8,38.2,22.7,26.3
Denmark,13.4,35.5,20.3,30.8
Germany,:,:,:,:
Estonia,8.9,38.8,25.2,27
Ireland,16.7,33.1,13.1,37.1
Greece,29.7,43.9,17,9.4
Spain,25.2,44,18.3,12.6
France,12.1,32.4,24.7,30.8
Croatia,19.4,31.4,26.4,22.8
Italy,38.8,21.4,16.1,23.7
Cyprus,51.7,31.3,9.6,7.4
Latvia,23.2,31.3,26.4,19.1
Lithuania,17.8,39.6,21,21.6
Luxembourg,12.5,51.5,17.5,18.4
Hungary,13.6,45.3,25.5,15.6
Malta,25,43.6,13,18.4
Netherlands,14.8,34.3,31.1,19.9
Austria,16.5,29.9,25.8,27.8
Poland,11.2,31.4,22.8,34.5
Portugal,27,48.3,13.3,11.4
Romania,24.2,50.6,15,10.2
Slovenia,13.9,36.9,21,28.2
Slovakia,18,46.9,18.5,16.6
Finland,8.4,29.3,26.1,36.3
Sweden,14.8,35.6,23.7,26
Norway,17.3,31.3,24.3,27.1
Switzerland,8,27,28.3,36.8
Montenegro,36.9,31.8,21.5,9.8
Serbia,20.1,42,24.9,13
Türkiye,26.8,28.8,17.6,26.7
,,,,
Special value,,,,
:,not available,,,
