Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Males,,
Age class,,From 16 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),30.2,36.1,16.8,16.9
Belgium,28.2,32.3,20.2,19.3
Bulgaria,40.6,28.3,16.9,14.2
Czechia,25.4,37.1,17.7,19.8
Denmark,21.1,45.2,17.4,16.3
Germany,:,:,:,:
Estonia,23.7,43.7,16.2,16.3
Ireland,24.3,33.7,16.9,25.2
Greece,42.6,41.2,10.5,5.6
Spain,33.2,39.9,14.9,11.9
France,27.6,33.4,17.5,21.5
Croatia,34.4,32.1,21.4,12.2
Italy,36.7,22.3,18.2,22.8
Cyprus,59.7,24.5,10.2,5.5
Latvia,45.8,24.8,16,13.5
Lithuania,41.6,37.8,12.4,8.2
Luxembourg,17.1,51.2,14.7,17.1
Hungary,20.9,44.6,20,14.4
Malta,36.1,36.7,15.4,11.8
Netherlands,24.1,40.6,21.1,14.2
Austria,27.5,36.8,17.7,18
Poland,27.4,34.7,16.9,21
Portugal,36.6,40.3,13.6,9.4
Romania,39.8,38.3,13.3,8.5
Slovenia,33.3,36.9,12.9,16.9
Slovakia,36.7,40.4,12.5,10.4
Finland,19.7,36.3,18.5,25.5
Sweden,21.2,37.4,20.4,21
Norway,20.4,38,20.4,21.2
Switzerland,14.6,35.4,22.5,27.5
Montenegro,39.3,33.7,17.3,9.7
Serbia,42.7,34.9,17.3,5.1
Türkiye,43.3,25,13.4,18.3
,,,,
Special value,,,,
:,not available,,,
