Data extracted on 09/09/2024 14:35:23 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Females,,
Age class,,From 35 to 44 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),36.4,31.9,15.3,16.4
Belgium,29.7,25.6,21.4,23.4
Bulgaria,49.6,23.7,14.4,12.3
Czechia,24.5,38.5,18.4,18.5
Denmark,20.4,34.8,18.5,26.3
Germany,:,:,:,:
Estonia,19.4,38.3,19.6,22.7
Ireland,21.9,32.4,11,34.7
Greece,45,38.1,10.8,6.1
Spain,36.7,41.4,13,8.9
France,26.5,32.5,19.1,21.9
Croatia,40.5,27.4,19.8,12.3
Italy,60.2,17.6,9.5,12.7
Cyprus,60.3,25.5,8.1,6
Latvia,37.5,27.4,20,15.1
Lithuania,28.1,38.5,16.8,16.6
Luxembourg,18.4,50.2,13.7,17.7
Hungary,39.4,36.3,14.6,9.7
Malta,43.3,36.7,9.3,10.6
Netherlands,23.8,32.8,24.2,19.2
Austria,27.6,31.5,20.2,20.6
Poland,28.5,28.5,18.3,24.7
Portugal,42.6,40.8,9.6,7
Romania,59.8,29.7,7.3,3.2
Slovenia,23.6,32.5,18.8,25.2
Slovakia,35,40.9,14.9,9.2
Finland,17.8,29.4,21.8,31.1
Sweden,22.8,35.6,19.6,21.9
Norway,20.9,31.1,21.9,26.1
Switzerland,13,33.4,24,29.6
Montenegro,60.3,21.2,11.1,7.5
Serbia,49.9,31.5,12.2,6.4
Türkiye,64.3,19.7,7.3,8.7
,,,,
Special value,,,,
:,not available,,,
