Data extracted on 09/09/2024 14:35:22 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Males,,
Age class,,From 16 to 29 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),49.3,29.7,11.8,9.2
Belgium,49.8,26.2,12.5,11.5
Bulgaria,57.6,21,13.7,7.8
Czechia,43.9,30.2,13.5,12.3
Denmark,33.7,42.6,15,8.7
Germany,:,:,:,:
Estonia,30.3,41.7,15.4,12.6
Ireland,45.5,26.6,9.4,18.5
Greece,52.2,36.2,6.6,5
Spain,44.1,37.9,11.4,6.6
France,45.9,29.1,13.3,11.7
Croatia,51.1,23.3,17.1,8.5
Italy,61.2,19.6,8.8,10.4
Cyprus,77.2,14,5.2,3.6
Latvia,58.1,24.4,12.3,5.2
Lithuania,51.2,31.8,12.5,4.5
Luxembourg,30.6,52,7.9,9.5
Hungary,50.8,29.4,12.1,7.7
Malta,64.7,22.5,6.6,6.2
Netherlands,44.7,31.9,14.3,9.1
Austria,44.9,36.5,12.3,6.3
Poland,45.7,26.4,15.1,12.7
Portugal,58,32.4,7.1,2.5
Romania,55.2,25.7,12.9,6.2
Slovenia,48.6,30.1,9.5,11.8
Slovakia,59.6,25.7,7.6,7.1
Finland,36.1,39.6,15.7,8.5
Sweden,36.3,37.7,15.3,10.8
Norway,30.6,41.4,16.3,11.6
Switzerland,22.2,36.4,22.1,19.2
Montenegro,52.3,25.9,14.1,7.6
Serbia,58.7,24.7,14.6,2
Türkiye,62.3,20,8.5,9.2
,,,,
Special value,,,,
:,not available,,,
