Data extracted on 09/09/2024 14:35:24 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Females,,
Age class,,From 55 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),38.5,28,14.1,19.3
Belgium,29.9,24,19,27.1
Bulgaria,55.1,24.6,11.7,8.7
Czechia,21.9,35,18.5,24.6
Denmark,20.1,31.7,18.2,30.1
Germany,:,:,:,:
Estonia,22.6,30.7,16.9,29.7
Ireland,20.4,24.4,14,41.2
Greece,47.3,37.7,9.9,5.2
Spain,36.9,38.1,12.8,12.2
France,29.5,26.2,16.2,28.1
Croatia,51.5,27.5,12.1,8.9
Italy,56.1,17.6,10.4,15.9
Cyprus,53,27.4,11.2,8.5
Latvia,40.2,23.5,17.7,18.7
Lithuania,36.6,30.6,17.7,15.1
Luxembourg,19.3,35.2,17.6,28
Hungary,40.5,32.6,13.3,13.6
Malta,54,27.8,8.2,10.1
Netherlands,22.4,26.7,24,26.8
Austria,23.7,34.3,18.6,23.4
Poland,36.7,26.1,15.2,22
Portugal,52,32.6,9.2,6.2
Romania,72.2,19.8,5,3.1
Slovenia,32.5,24.7,16.2,26.6
Slovakia,37.5,38.5,13.6,10.4
Finland,24.8,26,16.7,32.6
Sweden,24.1,30.8,17.1,28
Norway,19.7,23.8,22.4,34.1
Switzerland,13.2,25.2,18.8,42.7
Montenegro,68.9,17.2,8,5.9
Serbia,58.8,22.9,10.3,7.9
Türkiye,81.1,12.4,3.4,3.1
,,,,
Special value,,,,
:,not available,,,
