Data extracted on 09/09/2024 14:35:30 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Females,,
Age class,,From 16 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),17.7,34.7,21.4,26.2
Belgium,17.3,27.3,26.9,28.5
Bulgaria,21.4,33.6,26.4,18.6
Czechia,10.9,33.9,25.5,29.7
Denmark,12.8,36.1,22.9,28.3
Germany,:,:,:,:
Estonia,10.3,37,24,28.8
Ireland,14.2,29,15.8,41
Greece,25.4,46.4,18.7,9.5
Spain,20.1,46.5,17.9,15.5
France,12.8,31.8,22,33.4
Croatia,16.7,33.3,26.9,23.2
Italy,33,20.7,17.2,29
Cyprus,47.8,33.3,11.4,7.4
Latvia,21.6,30.2,25.5,22.7
Lithuania,17.8,38.8,23,20.4
Luxembourg,11.1,43.9,20.5,24.4
Hungary,12.1,41.2,25.5,21.2
Malta,24.4,43.5,13.9,18.2
Netherlands,14.5,33.7,27.8,24
Austria,14,31.9,23.3,30.8
Poland,9.8,29,25.4,35.8
Portugal,20.2,50,16.3,13.5
Romania,24.6,47.1,17.7,10.6
Slovenia,14.9,32.8,21.2,31.2
Slovakia,16.8,43.1,22.7,17.5
Finland,12.8,29.6,22.6,34.9
Sweden,15.1,34.2,22.8,27.9
Norway,15.2,32.4,24.3,28.2
Switzerland,6.6,27.7,23.4,42.3
Montenegro,27.9,34.1,26.6,11.4
Serbia,17.9,38,27.2,16.9
Türkiye,25.4,28.8,19.8,25.9
,,,,
Special value,,,,
:,not available,,,
