Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Males,,
Age class,,From 16 to 24 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),:,:,:,:
Belgium,30.1,38.7,17.8,13.4
Bulgaria,:,:,:,:
Czechia,:,:,:,:
Denmark,21.7,42.5,30.2,5.6
Germany,:,:,:,:
Estonia,:,:,:,:
Ireland,32.2,36.1,8.3,23.4
Greece,45.7,41.7,8.4,4.1
Spain,40.7,38,15.3,6
France,36.4,33.2,17.5,12.9
Croatia,18.9,34.9,33.3,12.8
Italy,49.6,21.3,10.4,18.8
Cyprus,62,19.9,14.5,3.5
Latvia,:,:,:,:
Lithuania,69.7,24.6,2.2,3.4
Luxembourg,22.2,55.5,6.4,15.9
Hungary,12,40.4,24.8,22.8
Malta,44.6,31.7,16.7,7
Netherlands,31.5,30.2,14.4,24
Austria,36.5,37.8,13.7,12
Poland,19,33.6,21.1,26.3
Portugal,49.4,37.3,11.5,1.8
Romania,6.2,37.9,30.6,25.3
Slovenia,54.8,23.3,7.2,14.7
Slovakia,43.6,46,2.4,8
Finland,:,:,:,:
Sweden,37.5,37,12.6,12.9
Norway,13.8,50.1,16.9,19.3
Switzerland,25.9,26.4,33.2,14.5
Montenegro,26.2,34.3,34.1,5.5
Serbia,46.1,16.6,12.1,25.2
Türkiye,44.8,25.9,11.9,17.4
,,,,
Special value,,,,
:,not available,,,
