Data extracted on 09/09/2024 14:35:22 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Males,,
Age class,,From 20 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),55.5,25.5,9.7,9.3
Belgium,48.2,24.7,14.1,12.9
Bulgaria,71.5,15.6,7.1,5.8
Czechia,52.1,27.5,10,10.4
Denmark,35.5,38.3,14.4,11.8
Germany,:,:,:,:
Estonia,38.4,37.8,12.2,11.6
Ireland,43.4,27.7,12,17
Greece,62.2,28.2,6.2,3.4
Spain,52.2,31.4,9.2,7.2
France,49.6,26.3,11.1,13
Croatia,70.2,16.8,8.3,4.7
Italy,68,15.1,7.9,8.9
Cyprus,74.7,16.6,5.4,3.4
Latvia,66.1,16.5,9.5,7.9
Lithuania,63.2,24.7,6.9,5.2
Luxembourg,32.7,44.4,10.9,12.1
Hungary,57.5,27.2,8.7,6.6
Malta,65.1,22.2,7,5.8
Netherlands,39.2,33.5,16.9,10.5
Austria,45.4,31.9,11.7,11
Poland,59.4,22.5,8.6,9.6
Portugal,66.7,23.8,5.8,3.6
Romania,77.1,15.8,4.8,2.4
Slovenia,52.6,29.2,9.4,8.8
Slovakia,69.4,20.8,5.8,4
Finland,34.9,33.1,15.2,16.8
Sweden,33.9,33.2,16.1,16.8
Norway,37.3,32.9,14.9,14.9
Switzerland,24.4,36,18.2,21.3
Montenegro,72.1,16.1,6.4,5.4
Serbia,76.9,15.6,6,1.5
Türkiye,74,14.2,5.2,6.6
,,,,
Special value,,,,
:,not available,,,
