Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Total,,
Age class,,From 25 to 34 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),24.1,38.6,19.1,18.2
Belgium,24.3,32.2,24.4,19.1
Bulgaria,34.1,30,21.7,14.2
Czechia,17.9,35.7,24.1,22.3
Denmark,16.5,45.8,20.6,17.1
Germany,:,:,:,:
Estonia,18,42.8,23,16.2
Ireland,15.7,33.5,17.5,33.4
Greece,33.8,43.5,15.4,7.3
Spain,24.9,48.7,15.6,10.8
France,21.8,39.7,18.4,20.1
Croatia,24.8,34.9,21.8,18.5
Italy,36.1,22.2,15.7,26
Cyprus,56,31,9.3,3.7
Latvia,33.8,29.7,19.9,16.6
Lithuania,27.8,43.3,17,11.8
Luxembourg,13.6,56.6,15.1,14.7
Hungary,18.3,46.3,20.3,15.1
Malta,30.9,43.1,12.5,13.5
Netherlands,20.5,41.6,22.8,15
Austria,19.9,37.6,20.8,21.7
Poland,17.2,32.2,24.7,26
Portugal,26.8,46.8,13.3,13.1
Romania,35.9,42.1,15.1,6.9
Slovenia,25.3,38.1,16.5,20.1
Slovakia,24.2,39.2,24.2,12.4
Finland,16.3,37.3,21.2,25.2
Sweden,19.1,39.2,22.3,19.4
Norway,18.9,38.2,23.2,19.6
Switzerland,6.8,36.7,24,32.5
Montenegro,27.7,35.9,23.7,12.7
Serbia,26.2,38.8,24.2,10.9
Türkiye,34.1,26.7,16.8,22.4
,,,,
Special value,,,,
:,not available,,,
