Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Males,,
Age class,,From 16 to 44 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),31.6,37.5,16.1,14.8
Belgium,29.9,33.7,20,16.5
Bulgaria,41.6,25.5,18.4,14.5
Czechia,27.4,38.5,16,18.1
Denmark,17.8,48.9,17.6,15.7
Germany,:,:,:,:
Estonia,24.6,45.9,16,13.5
Ireland,26.3,34.9,17.3,21.6
Greece,43.4,42.5,9,5.1
Spain,34.3,42.6,13.5,9.6
France,30.7,36.3,15.5,17.5
Croatia,32.1,31.6,24.1,12.2
Italy,38.9,21.8,18.2,21
Cyprus,62.3,22.3,11,4.4
Latvia,48.3,25.3,16.3,10.2
Lithuania,41.8,39.2,11.1,8
Luxembourg,18.5,56.6,12.2,12.7
Hungary,21,46,21.2,11.8
Malta,37.8,37.5,13.5,11.2
Netherlands,24.8,41.9,20,13.3
Austria,27.8,37.9,18.2,16.1
Poland,30.3,32.7,17.4,19.5
Portugal,40.6,42.9,10.5,6.1
Romania,41.5,39.7,12.9,5.9
Slovenia,38.2,34.2,10.7,16.9
Slovakia,38.3,38.1,13.6,10
Finland,18.4,40.3,17.2,24.1
Sweden,20.8,39.4,20.1,19.7
Norway,20.6,38.4,20.9,20
Switzerland,13.3,38.8,23.8,24
Montenegro,38.5,32.6,18.6,10.3
Serbia,42.2,31.8,20.7,5.3
Türkiye,44.1,24.5,13.2,18.2
,,,,
Special value,,,,
:,not available,,,
