Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Total,,
Age class,,From 25 to 29 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),24.5,38,19.7,17.8
Belgium,26.8,29.3,24.7,19.3
Bulgaria,29.2,26.3,27,17.6
Czechia,18.7,33.8,23.2,24.4
Denmark,15.4,50.8,20.9,13
Germany,:,:,:,:
Estonia,17.7,37.6,28.7,16
Ireland,18.1,33.4,12.3,36.2
Greece,29.2,43.5,18.1,9.1
Spain,25.6,46.3,16.5,11.6
France,21.9,38.1,20.3,19.8
Croatia,21.1,36.8,23,19.1
Italy,37.7,22.1,16.6,23.6
Cyprus,59.1,26.6,10.7,3.6
Latvia,39.6,29.7,15.2,15.5
Lithuania,26.7,46.6,16.5,10.3
Luxembourg,11.2,67.3,8.5,13.1
Hungary,16.8,48.1,19.2,15.9
Malta,34.7,37.6,14.6,13.1
Netherlands,22.7,39.7,22,15.6
Austria,16.3,39.6,25.1,19
Poland,16.3,34.2,23.6,25.9
Portugal,24.4,46.9,14.5,14.1
Romania,30.8,41.2,20.5,7.6
Slovenia,20.6,39,15.7,24.6
Slovakia,22.2,39,26.3,12.5
Finland,16.3,40.9,20.8,22
Sweden,20.6,40.9,23.8,14.8
Norway,19.7,40.4,24.3,15.5
Switzerland,5.5,35.8,26.3,32.3
Montenegro,24.6,36.6,27,11.8
Serbia,19.6,39.4,26.3,14.7
Türkiye,33.9,26.5,16.8,22.8
,,,,
Special value,,,,
:,not available,,,
