Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Total,,
Age class,,16 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),22.9,34.1,19.4,23.6
Belgium,22.2,27.8,22.8,27.3
Bulgaria,30.5,29.8,21.6,18.1
Czechia,16.9,33.9,22.1,27.1
Denmark,15.4,38.7,20.6,25.3
Germany,:,:,:,:
Estonia,16.5,36.6,20.1,26.7
Ireland,17.9,30.4,16.4,35.3
Greece,33,43.7,15.2,8.1
Spain,25.4,42.5,16.8,15.2
France,18.4,31.1,19.7,30.8
Croatia,25.7,32.4,23.9,17.9
Italy,33.9,20.9,17.5,27.7
Cyprus,51.5,29.5,11.5,7.4
Latvia,29.6,27.4,22.2,20.8
Lithuania,27.9,36.7,18.5,17
Luxembourg,12.9,46.1,18.2,22.8
Hungary,16.5,40.5,23,20.1
Malta,29.7,39.2,14.9,16.3
Netherlands,18.8,35.2,25.4,20.7
Austria,20.6,33.9,20.2,25.3
Poland,16.6,30.1,21.7,31.6
Portugal,25.6,45.2,16,13.1
Romania,31.7,42.9,15.9,9.5
Slovenia,22.1,33.3,18.1,26.5
Slovakia,24.8,41.5,18.8,14.9
Finland,15.6,32.3,20.3,31.8
Sweden,16.9,33,22.1,28
Norway,16.8,33.3,22.8,27.1
Switzerland,10.7,30.6,22.7,35.9
Montenegro,34.6,32.6,21.8,10.9
Serbia,29.8,35.5,22,12.8
Türkiye,34.7,27,16.5,21.8
,,,,
Special value,,,,
:,not available,,,
