Data extracted on 09/09/2024 14:35:22 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Total,,
Age class,,From 45 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),47.8,26.3,11.9,14.1
Belgium,40,22.7,17.1,20.2
Bulgaria,64.1,19.5,9.5,6.8
Czechia,35.4,32.1,15.3,17.2
Denmark,29.6,33.7,16,20.7
Germany,:,:,:,:
Estonia,29,34.2,16.2,20.6
Ireland,31.6,26.3,13.2,28.9
Greece,55.5,32,8.3,4.2
Spain,44.8,34.2,11.1,9.9
France,40,26.2,13.9,20
Croatia,62.4,21,9.8,6.8
Italy,61.9,16.5,9.3,12.3
Cyprus,64.2,22.6,7.4,5.7
Latvia,50.5,20.2,15.1,14.2
Lithuania,51.5,25.6,12.6,10.4
Luxembourg,27,37,15.2,20.7
Hungary,48.8,30,11.1,10.1
Malta,58.4,25.2,8.3,8.2
Netherlands,32.5,29.4,19.8,18.4
Austria,36.4,31.7,14,17.9
Poland,48,24,11.9,16.2
Portugal,59.6,27.7,7.7,5
Romania,75.9,16.9,4.5,2.7
Slovenia,42.7,27.2,13.2,16.9
Slovakia,53.2,29.6,9.9,7.2
Finland,30,28.5,16.1,25.4
Sweden,29.3,30.4,16.6,23.6
Norway,30.8,28.7,17,23.5
Switzerland,21.1,30.5,17.3,31.1
Montenegro,71.4,17.5,6.2,5
Serbia,69.6,19,7.3,4.1
Türkiye,78.8,13.1,4,4.1
,,,,
Special value,,,,
:,not available,,,
