Data extracted on 09/09/2024 14:35:23 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Females,,
Age class,,From 25 to 34 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),34.1,34.4,15.6,15.8
Belgium,29.8,30,23.1,17
Bulgaria,48.9,24.2,16.5,10.3
Czechia,24.2,37.4,18.6,19.8
Denmark,21.5,39.6,20.6,18.3
Germany,:,:,:,:
Estonia,16.5,42.5,21.7,19.2
Ireland,26.1,27.9,14.4,31.5
Greece,37.3,42.3,13.6,6.8
Spain,30.3,47.4,12.9,9.4
France,28.5,37.3,16.1,18.2
Croatia,34.3,32.5,17.4,15.8
Italy,56.4,17,10.6,15.9
Cyprus,59,29.4,8.7,2.8
Latvia,32.7,29,19.8,18.6
Lithuania,31.2,38.5,17.4,12.9
Luxembourg,14.9,58.1,13,14
Hungary,39.8,34.5,15.7,10
Malta,39.9,39.4,11.2,9.6
Netherlands,22.9,38.1,18.2,20.8
Austria,23.5,37.1,19.6,19.8
Poland,22.7,30.4,23.3,23.6
Portugal,36.2,43,10.3,10.5
Romania,60.3,27.8,8.9,3
Slovenia,22.2,36.4,15.7,25.6
Slovakia,33.2,37.2,18.1,11.5
Finland,18.5,35,19.7,26.8
Sweden,27.1,36.1,18.2,18.6
Norway,21.6,37.8,18.2,22.5
Switzerland,9.5,37.2,23.1,30.2
Montenegro,48.3,27.4,16.4,7.9
Serbia,39.5,34.7,17.7,8.1
Türkiye,53.6,21.7,10.8,13.9
,,,,
Special value,,,,
:,not available,,,
