Data extracted on 09/09/2024 14:35:22 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Males,,
Age class,,From 16 to 44 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),52.5,28,10.5,9
Belgium,47.8,26.2,14.7,11.3
Bulgaria,67.1,17.5,8.8,6.7
Czechia,51.1,28.2,10.7,10.1
Denmark,33.2,40.7,13.8,12.3
Germany,:,:,:,:
Estonia,36.8,39.6,13.2,10.5
Ireland,44.1,28.5,11.5,15.9
Greece,58.6,31.8,6,3.7
Spain,49.4,34.8,9.4,6.4
France,47.6,29.1,11.3,12
Croatia,61.3,20.1,12.5,6.2
Italy,66.1,16.9,7.8,9.1
Cyprus,75.6,15.9,5.6,2.9
Latvia,64.3,19.4,10.6,5.7
Lithuania,54.8,30.1,9.7,5.4
Luxembourg,31.4,49.5,9.4,9.7
Hungary,54.5,28.5,10.5,6.5
Malta,64.1,23.3,6.5,6.1
Netherlands,38.9,34.7,16.8,9.6
Austria,43.4,34.3,12.8,9.5
Poland,53.2,24.5,11.4,10.9
Portugal,62.5,28.3,6.1,3
Romania,68.2,20.8,7.8,3.3
Slovenia,50.4,29.7,9.7,10.2
Slovakia,65.2,23.1,6.6,5
Finland,32.9,36.7,16.1,14.3
Sweden,33.2,35.6,15.9,15.3
Norway,34.7,36.3,16,13.1
Switzerland,22,37.8,20.6,19.6
Montenegro,63.7,20,9.8,6.6
Serbia,69.3,19.2,9.9,1.5
Türkiye,68,17.2,6.8,8.1
,,,,
Special value,,,,
:,not available,,,
