Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Males,,
Age class,,From 16 to 29 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),33.1,36.5,17,13.5
Belgium,32.4,35.1,15.5,17
Bulgaria,37.2,20.8,22.7,19.3
Czechia,22.8,39,18.5,19.6
Denmark,17.7,55,19.9,7.4
Germany,:,:,:,:
Estonia,24.8,42.9,17,15.2
Ireland,23.6,39.1,12.8,24.5
Greece,40.7,43,10.8,5.5
Spain,36.4,41.4,14.1,8
France,32.8,35,18.5,13.8
Croatia,30.7,35.9,22.9,10.5
Italy,42.1,18.6,17.3,22
Cyprus,65.9,17.3,10.5,6.4
Latvia,49.1,26.9,12.1,11.8
Lithuania,50.3,40.4,5.6,3.7
Luxembourg,15.3,67.7,7.3,9.7
Hungary,18.4,48,16.8,16.8
Malta,44.8,35.2,11.9,8.1
Netherlands,31,34.9,21,13.1
Austria,30.1,41.2,17.1,11.6
Poland,26.2,34.3,19.1,20.5
Portugal,44.8,43.8,7.8,3.6
Romania,31.3,37.1,20.2,11.4
Slovenia,36.9,31.7,12.4,19
Slovakia,31,42.9,12.7,13.4
Finland,20,47.3,13.3,19.4
Sweden,25.4,42.4,19.7,12.6
Norway,18.3,42.7,20.4,18.6
Switzerland,12,34.9,28.1,25
Montenegro,26.9,42.4,23.2,7.5
Serbia,37.8,26.4,26,9.9
Türkiye,43.8,24,13.8,18.4
,,,,
Special value,,,,
:,not available,,,
