Data extracted on 09/09/2024 14:35:23 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Males,,
Age class,,65 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),57.9,21,9.3,11.8
Belgium,45.5,20.5,12.2,21.7
Bulgaria,72.5,14.6,7,5.8
Czechia,45.8,30.4,10.1,13.8
Denmark,34.9,33.3,14.9,16.9
Germany,:,:,:,:
Estonia,42.4,27.2,13.1,17.3
Ireland,46.8,22.6,9.8,20.8
Greece,71,20.6,4.9,3.4
Spain,59.6,23.6,8.6,8.2
France,46.5,23.4,10.8,19.4
Croatia,75.2,15,5.8,4
Italy,74.6,10.9,6,8.5
Cyprus,72.8,17,5.3,4.9
Latvia,59,17.1,11.5,12.3
Lithuania,62.3,21.6,7.3,8.8
Luxembourg,23.7,40.2,15.7,20.3
Hungary,56.1,25.5,8.5,9.8
Malta,65.5,18.9,6.9,8.7
Netherlands,37.3,23.7,22.1,16.9
Austria,45.5,29.5,11.7,13.3
Poland,65.8,15.7,8.1,10.4
Portugal,68.6,21.8,4.7,4.9
Romania,81.3,14,3.2,1.5
Slovenia,52.1,26.5,8.6,12.8
Slovakia,68.4,18.6,8.6,4.3
Finland,43.7,28.1,10.6,17.6
Sweden,41.8,25.5,15.7,17.1
Norway,36.5,31.9,14.1,17.4
Switzerland,27.7,30.2,16.3,25.7
Montenegro,75.9,15,4.5,4.6
Serbia,80.6,12.6,3.3,3.5
Türkiye,82.6,10.6,2.8,4
,,,,
Special value,,,,
:,not available,,,
