Data extracted on 09/09/2024 14:35:30 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Males,,
Age class,,From 75 to 84 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),25.7,30.3,18.7,25.3
Belgium,27.9,18.2,17.4,36.4
Bulgaria,50.1,23.2,13.3,13.5
Czechia,16.4,32.5,18.4,32.7
Denmark,13.7,42.9,15.7,27.8
Germany,:,:,:,:
Estonia,25.5,29,14.8,30.8
Ireland,14,25,9,52
Greece,35.1,43.4,12.6,8.9
Spain,27.1,33.8,21.5,17.6
France,16.7,26.6,17,39.6
Croatia,42.5,29.9,17.6,10
Italy,30.9,24.4,16.8,27.9
Cyprus,37,37.3,7.9,17.8
Latvia,40.2,30.6,13.8,15.4
Lithuania,42.7,21,14,22.4
Luxembourg,7,45.8,14.3,32.8
Hungary,24.4,34.7,21.8,19.1
Malta,19.8,40.7,7.1,32.4
Netherlands,18.7,28.9,31.4,21.1
Austria,27.9,36.8,16.3,19.1
Poland,25.8,17.6,21.3,35.3
Portugal,13.5,38.2,15.9,32.5
Romania,33.5,36.3,19.5,10.6
Slovenia,25.3,32.6,19.1,23
Slovakia,39.5,35,15.5,10
Finland,19.1,39,15.7,26.2
Sweden,14.4,20.7,27.6,37.3
Norway,12.9,40.8,19.2,27.1
Switzerland,15,28.8,15.6,40.6
Montenegro,46,24,20.4,9.6
Serbia,48.3,30,12.7,8.9
Türkiye,48.1,19.1,13.4,19.3
,,,,
Special value,,,,
:,not available,,,
