Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Males,,
Age class,,From 25 to 34 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),30.4,38.3,16.7,14.6
Belgium,29.9,32.4,21.2,16.5
Bulgaria,48,22.9,17.2,11.9
Czechia,24.9,38.1,18.7,18.2
Denmark,17.5,51,16.4,15.1
Germany,:,:,:,:
Estonia,26.1,43.7,16,14.1
Ireland,18,34.6,19.5,27.9
Greece,42.7,42.8,9.1,5.3
Spain,32.1,44.4,14.5,9
France,29.9,38.5,15.6,16.1
Croatia,35.4,33.1,18,13.4
Italy,37.6,22.1,16.8,23.5
Cyprus,63.2,23.4,8.4,4.9
Latvia,50.7,23.2,17.2,8.9
Lithuania,38.6,43.8,11.2,6.4
Luxembourg,15.4,59.5,14.2,11
Hungary,22.6,46.1,16.4,14.8
Malta,38.8,37.8,11.2,12.2
Netherlands,23.6,42.7,23.8,9.9
Austria,25.1,39.3,18.3,17.4
Poland,28.2,31.4,19.1,21.3
Portugal,42.3,41,9.5,7.1
Romania,44.7,39.9,10.2,5.1
Slovenia,36.1,37.8,13.5,12.6
Slovakia,29.9,36.4,22.2,11.5
Finland,20.3,39,17.2,23.4
Sweden,16.2,44,21.6,18.2
Norway,21.7,38.3,22.7,17.3
Switzerland,11.3,40.5,23.6,24.7
Montenegro,33.4,37.9,17.7,11
Serbia,37.7,36.3,22.2,3.8
Türkiye,43,24.7,13.7,18.5
,,,,
Special value,,,,
:,not available,,,
