Data extracted on 09/09/2024 14:35:28 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Total,,
Age class,,From 16 to 44 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),24.8,37.2,18.9,19.2
Belgium,23.3,31.3,23.9,21.6
Bulgaria,30.6,29.4,22.5,17.5
Czechia,19,37.1,21.3,22.6
Denmark,16.4,43,20.8,19.7
Germany,:,:,:,:
Estonia,16.2,43.2,21.8,18.8
Ireland,20.4,33.5,15.8,30.3
Greece,34.3,44,14.2,7.5
Spain,27.6,45.4,15.7,11.3
France,21.7,36.1,18.8,23.3
Croatia,23.6,32.9,24.9,18.6
Italy,38.4,21.2,17.1,23.3
Cyprus,56.8,28.3,10.2,4.6
Latvia,32,30,21.5,16.4
Lithuania,28.6,40.7,16.9,13.8
Luxembourg,15.3,53.8,15.2,15.7
Hungary,16.8,45.2,22.9,15
Malta,31.1,41.9,13.2,13.8
Netherlands,20.7,39.1,23.5,16.6
Austria,21.9,35.9,21,21.2
Poland,18.6,32,22.1,27.3
Portugal,29.2,47.1,13,10.7
Romania,32.6,44.5,14.9,8
Slovenia,25.8,35.9,16.1,22.2
Slovakia,25.6,41.4,19.4,13.6
Finland,13.9,36,21.6,28.5
Sweden,18.8,38.2,21.5,21.5
Norway,18.3,36.5,22.8,22.4
Switzerland,9.9,35.1,24.7,30.2
Montenegro,33.1,32.7,22.9,11.3
Serbia,28.4,37.4,23.4,10.8
Türkiye,34.7,26.6,16.3,22.4
,,,,
Special value,,,,
:,not available,,,
