Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Total,,
Age class,,From 30 to 54 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),23.7,36.1,19.3,21
Belgium,22.2,29.5,24.3,24.1
Bulgaria,29.9,31.1,22.7,16.3
Czechia,17.5,36.3,21.8,24.4
Denmark,16.3,38.4,19.9,25.5
Germany,:,:,:,:
Estonia,15.3,41,21.1,22.7
Ireland,19.3,32.8,16.7,31.2
Greece,35.2,43.5,14.2,7.1
Spain,27,44,16,12.9
France,19.5,33.8,20,26.6
Croatia,23.8,32.3,25.4,18.4
Italy,35.3,22.2,18,24.5
Cyprus,52,30.7,10.7,6.6
Latvia,29.5,29.2,23.1,18.1
Lithuania,27.5,37.6,18.7,16.2
Luxembourg,15.3,46.6,18.2,19.9
Hungary,17.3,44.1,22.4,16.2
Malta,28.7,42.1,14.1,15.1
Netherlands,18.4,39,25,17.5
Austria,21.8,34.4,20,23.8
Poland,17.5,31.7,22.2,28.7
Portugal,28.4,46.2,14.8,10.6
Romania,33.4,43.5,14.4,8.6
Slovenia,23.7,33.8,18,24.4
Slovakia,26.2,44.5,16.1,13.2
Finland,14.8,31.6,22.5,31.1
Sweden,17,35.2,22.3,25.5
Norway,17.1,34.4,22.5,26
Switzerland,10.2,31.7,23.7,34.4
Montenegro,36.1,34,19.5,10.4
Serbia,30.3,36.9,23.1,9.7
Türkiye,35.3,26.8,16.3,21.6
,,,,
Special value,,,,
:,not available,,,
