Data extracted on 09/09/2024 14:35:22 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Total,,
Age class,,From 75 to 84 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),54.6,21.2,10.3,13.8
Belgium,46.7,18.7,11.9,22.8
Bulgaria,71.6,14.4,7.4,6.7
Czechia,35.9,28.9,15.1,20.2
Denmark,28.4,32.1,15.9,23.5
Germany,:,:,:,:
Estonia,34,27.3,13.6,25.1
Ireland,38.3,23,12.3,26.3
Greece,74.2,18.3,4.5,3
Spain,59.6,24.5,7.6,8.4
France,39.4,24.4,13.4,22.8
Croatia,69.2,16.2,8.9,5.7
Italy,75.2,11.4,5.8,7.6
Cyprus,69,19.1,5.8,6.1
Latvia,50.5,17.1,13.9,18.4
Lithuania,57.6,23,9.6,9.8
Luxembourg,22.1,41.1,16.2,20.6
Hungary,50.1,26.7,12.1,11
Malta,60.2,22.7,6.5,10.6
Netherlands,33.9,20.8,22.5,22.8
Austria,39.9,29.8,15.4,14.9
Poland,55.6,16.3,10.6,17.5
Portugal,69,22.2,4.4,4.3
Romania,85.3,11.4,2.3,1.1
Slovenia,42.5,26.2,11,20.3
Slovakia,61,25.3,7.6,6.2
Finland,38,28,11.6,22.3
Sweden,32.6,24.1,18.5,24.8
Norway,25.2,28.1,14,32.7
Switzerland,24.3,28.4,16.6,30.7
Montenegro,83.4,10.3,3.7,2.7
Serbia,79.4,11.6,4.8,4.3
Türkiye,88.8,7.2,1.7,2.3
,,,,
Special value,,,,
:,not available,,,
