Data extracted on 09/09/2024 14:35:23 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Males,,
Age class,,From 35 to 44 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),56.1,26.1,9.3,8.5
Belgium,46.2,26.6,15.4,11.8
Bulgaria,71.6,15.4,6.2,6.8
Czechia,56.4,26.7,8.3,8.6
Denmark,36.6,36.9,11.8,14.7
Germany,:,:,:,:
Estonia,41.7,37.4,11.8,9.1
Ireland,44.9,29.8,12.8,12.5
Greece,64,27.5,6,2.5
Spain,54.8,31.5,7.4,6.3
France,48.4,29.1,10,12.4
Croatia,68.5,17.8,10,3.7
Italy,72.3,12.7,7.5,7.4
Cyprus,74.8,15.4,7.2,2.6
Latvia,69.7,15.9,8.4,5.9
Lithuania,59.3,27.3,7,6.5
Luxembourg,29.9,51.7,8.3,10.1
Hungary,57.8,27.5,9.8,4.8
Malta,65.6,22.7,6.1,5.7
Netherlands,37.3,35.6,17,10.1
Austria,42.9,32.1,13.9,11.1
Poland,58.2,23.6,8.8,9.4
Portugal,65.6,26,5.3,3
Romania,77.2,17.8,3.9,1.1
Slovenia,49.1,30.6,9.1,11.3
Slovakia,70.2,21.8,4.1,3.8
Finland,33.1,33,15,18.9
Sweden,34.1,30.8,15.9,19.2
Norway,36.1,33.6,14.3,16
Switzerland,22.2,36.8,20.4,20.6
Montenegro,78,12.7,4.9,4.4
Serbia,79.5,13.3,5.8,1.4
Türkiye,75,13.9,4.7,6.4
,,,,
Special value,,,,
:,not available,,,
