Data extracted on 09/09/2024 14:35:30 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Females,,
Age class,,16 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),17.4,33.4,21.3,27.9
Belgium,17.6,25.9,25.5,31
Bulgaria,23.8,31.2,24.6,20.5
Czechia,10.7,32.4,25.8,31.2
Denmark,11.7,34.9,22.6,30.9
Germany,:,:,:,:
Estonia,12,34.4,22.2,31.4
Ireland,13.6,28.5,15.9,42
Greece,25.4,45.8,19.1,9.7
Spain,19.6,45.5,17.9,16.9
France,12.1,30.1,21.6,36.2
Croatia,18.2,32.7,26.5,22.6
Italy,32.4,20,17.2,30.4
Cyprus,46,33.4,12.2,8.4
Latvia,22.4,28.4,25.1,24
Lithuania,19.1,36.9,22.5,21.5
Luxembourg,10.1,42.7,20.8,26.3
Hungary,12.9,38.8,25.4,22.9
Malta,24.3,42.2,13.7,19.8
Netherlands,14.2,31.6,28.5,25.7
Austria,13.1,31.4,23.3,32.2
Poland,10.1,28.1,24.6,37.1
Portugal,19.9,48.7,17.2,14.3
Romania,25,46.3,18.2,10.4
Slovenia,14.6,31.1,21.4,32.8
Slovakia,16.4,42.8,22.7,18.2
Finland,12.4,29.5,21.7,36.4
Sweden,13.9,31.5,22.9,31.7
Norway,14.6,30.5,24.3,30.6
Switzerland,6.4,26.5,23.5,43.6
Montenegro,29.6,33.1,26,11.4
Serbia,19.3,36.5,26.8,17.4
Türkiye,25.5,29,19.9,25.6
,,,,
Special value,,,,
:,not available,,,
