Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Total,,
Age class,,From 45 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),21.2,32.8,20,26
Belgium,20.5,27.2,24,28.3
Bulgaria,27.1,34,22.8,16.1
Czechia,14.5,32.4,23.3,29.8
Denmark,16.2,35,20.1,28.7
Germany,:,:,:,:
Estonia,14.6,34.8,19.9,30.7
Ireland,16.1,27.4,17,39.5
Greece,31.6,44.2,16,8.1
Spain,24.2,41.2,17.7,17
France,16.2,27.3,21.7,34.8
Croatia,24.6,32.6,24.2,18.6
Italy,30,21.6,18.2,30.2
Cyprus,43.9,32.4,12.4,11.3
Latvia,27.8,26.3,23,22.9
Lithuania,25.9,34.6,21.4,18.1
Luxembourg,12.2,37.7,21.4,28.7
Hungary,14.9,40.2,23.3,21.6
Malta,26.9,34.3,19.7,19.1
Netherlands,17.4,34.2,25.8,22.7
Austria,19.1,32.1,19.8,29
Poland,11.9,29.3,22.1,36.8
Portugal,22.2,45,18.9,13.8
Romania,30.6,40.4,16.8,12.3
Slovenia,17.8,32.4,20.1,29.7
Slovakia,23.9,43.2,16.4,16.4
Finland,18,28.3,20,33.7
Sweden,16.1,31.7,22.2,30
Norway,15.8,32,22.5,29.7
Switzerland,11.8,27,20.6,40.6
Montenegro,33.2,36.2,21.2,9.4
Serbia,28.1,35.6,22.4,13.9
Türkiye,34.5,27.8,17.3,20.4
,,,,
Special value,,,,
:,not available,,,
