Data extracted on 09/09/2024 14:35:30 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Females,,
Age class,,From 45 to 54 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),16,32.9,22.3,28.8
Belgium,16.9,22.9,28.4,31.8
Bulgaria,22.7,33.3,29.4,14.6
Czechia,7.5,30.9,27.4,34.2
Denmark,8.1,35.1,23.2,33.6
Germany,:,:,:,:
Estonia,9.1,35.6,23.6,31.7
Ireland,13.5,27,16,43.5
Greece,23.5,46.6,20.3,9.6
Spain,17.4,46,18.5,18.1
France,11.1,27.6,24,37.3
Croatia,13.1,31.7,29.6,25.6
Italy,28.6,22,19.5,30
Cyprus,36.7,36.3,15.1,12
Latvia,18,30.2,28.2,23.5
Lithuania,18.8,34.9,23.9,22.4
Luxembourg,10.8,30.6,27.4,31.1
Hungary,13.4,39.6,24.7,22.3
Malta,25.5,32.6,17.3,24.6
Netherlands,12.4,30.8,27.6,29.1
Austria,11.8,29.3,21.4,37.5
Poland,7.7,24.9,27,40.3
Portugal,19.8,49,19.4,11.8
Romania,24.7,46.6,18,10.6
Slovenia,14.4,25,21.8,38.8
Slovakia,14.6,47.5,20.1,17.8
Finland,14.8,25.6,23,36.6
Sweden,11.1,29.5,24.1,35.3
Norway,12.5,31.8,24.4,31.3
Switzerland,6.4,20.5,20.6,52.5
Montenegro,27.3,39.6,24,9.1
Serbia,16.3,32.3,34.3,17.2
Türkiye,24.2,30.8,23,22
,,,,
Special value,,,,
:,not available,,,
