Data extracted on 09/09/2024 14:35:30 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Females,,
Age class,,From 30 to 54 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),18,35.3,21.5,25.1
Belgium,17,27.8,26.4,28.7
Bulgaria,23.3,32.4,25.9,18.4
Czechia,11,35.8,25.3,27.9
Denmark,12.2,35.6,22.3,29.9
Germany,:,:,:,:
Estonia,9.6,39.3,24.1,26.9
Ireland,14.7,31.7,15.4,38.2
Greece,28,44.9,18.2,8.8
Spain,21,46.9,17.6,14.5
France,12.3,32.5,23.6,31.6
Croatia,18,32.3,26.8,22.9
Italy,33.7,21.1,17.4,27.7
Cyprus,46.9,34.6,10.6,7.9
Latvia,20.9,31.5,26.4,21.3
Lithuania,18.6,38.2,22.1,21.2
Luxembourg,12.1,44.4,21.3,22.2
Hungary,13.9,43.1,24.7,18.3
Malta,24,45.9,12.6,17.6
Netherlands,14.8,34.2,28.4,22.7
Austria,16.1,31.1,22.3,30.5
Poland,10.3,29.9,25.4,34.4
Portugal,23.2,49.8,15.1,11.9
Romania,26.2,47.7,16.3,9.8
Slovenia,15.5,32.4,21.1,31
Slovakia,17.9,46.5,19,16.6
Finland,11.9,28.6,24.3,35.2
Sweden,15.4,33.1,23.2,28.3
Norway,14.9,32.4,23.5,29.2
Switzerland,6.3,26.5,24.6,42.6
Montenegro,30.2,36,23.2,10.7
Serbia,20.3,37.4,28.2,14.1
Türkiye,26,28.8,19.7,25.4
,,,,
Special value,,,,
:,not available,,,
