Data extracted on 09/09/2024 14:35:30 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Males,,
Age class,,From 55 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),26.2,32.6,17.9,23.3
Belgium,24.1,32.8,19.3,23.8
Bulgaria,46,28.3,9.8,15.9
Czechia,24.6,36.4,19.3,19.7
Denmark,23.6,42.1,17.1,17.3
Germany,:,:,:,:
Estonia,23.8,45.5,14.4,16.3
Ireland,21.1,26.5,14.5,37.9
Greece,39.1,38.6,14.4,7.9
Spain,26.2,37.3,18.4,18.1
France,19.7,24.7,23.5,32.2
Croatia,44,28.3,13.7,13.9
Italy,28.6,21.3,17.3,32.8
Cyprus,53.6,31.8,7.1,7.5
Latvia,44.1,22.9,14.2,18.8
Lithuania,39,38.5,13.6,8.9
Luxembourg,13.3,46.6,18.9,21.2
Hungary,19.3,39.8,24.5,16.4
Malta,34.5,26.2,24.9,14.5
Netherlands,24.3,36,19.2,20.5
Austria,26.6,32,17.7,23.7
Poland,19.4,35.5,12.5,32.6
Portugal,24.2,35.2,19.2,21.4
Romania,38.5,37.3,10.8,13.4
Slovenia,22.1,47.9,8.9,21.1
Slovakia,39.8,32.5,13.5,14.3
Finland,22.2,31.9,17.2,28.7
Sweden,24.9,31,18.5,25.6
Norway,22.8,35.4,18.1,23.7
Switzerland,18,32.1,18.9,31
Montenegro,39.6,30.9,18.2,11.3
Serbia,41.2,37.5,15.1,6.2
Türkiye,42.5,27.5,12.3,17.7
,,,,
Special value,,,,
:,not available,,,
