Data extracted on 09/09/2024 14:35:30 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Males,,
Age class,,From 45 to 54 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),29.9,35.6,17.6,16.9
Belgium,28.1,28.3,21.5,22.1
Bulgaria,35.2,33.6,18.8,12.4
Czechia,20.7,34,21,24.3
Denmark,29.1,36.5,17.1,17.3
Germany,:,:,:,:
Estonia,21.2,35.6,18.4,24.7
Ireland,21.2,35.8,17.5,25.4
Greece,44.1,40.7,10.2,4.9
Spain,36,36.8,15.2,12
France,25.7,32.7,18.3,23.4
Croatia,31.1,36.9,21.4,10.6
Italy,38.2,24.1,19,18.6
Cyprus,55.1,26.9,9.9,8.1
Latvia,41.5,25.2,16.5,16.8
Lithuania,43.1,31.5,16.8,8.6
Luxembourg,16.6,41.6,17.3,24.5
Hungary,22,45.8,14.3,17.9
Malta,29.9,38.4,18.7,13
Netherlands,22.2,40.9,25.9,11
Austria,27.5,38.7,16.6,17.2
Poland,20.8,41.4,17.3,20.5
Portugal,34.2,37,18.2,10.6
Romania,36.6,35.7,15.4,12.3
Slovenia,27.4,37.1,21.1,14.4
Slovakia,28.8,54.6,8.2,8.3
Finland,20.2,31.6,22.7,25.5
Sweden,19.3,37.2,22.6,20.9
Norway,17.6,39.3,21,22
Switzerland,14.3,31.2,22.9,31.6
Montenegro,42.2,41.1,11.1,5.7
Serbia,45.5,42.1,8.7,3.7
Türkiye,40,26.1,14.6,19.2
,,,,
Special value,,,,
:,not available,,,
