Data extracted on 09/09/2024 14:35:24 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Females,,
Age class,,From 65 to 74 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),42.1,24.8,13.1,20
Belgium,33.6,21.5,14.9,30
Bulgaria,56.6,21.5,10.6,11.3
Czechia,20.4,32.3,20,27.4
Denmark,15.3,32.9,17.6,34.2
Germany,:,:,:,:
Estonia,21.4,29.7,17,31.9
Ireland,23.7,26.5,11.6,38.2
Greece,59.1,28.9,7.6,4.5
Spain,44.6,31.1,11.5,12.9
France,30,23.9,14.9,31.2
Croatia,56.1,24.9,10.4,8.6
Italy,62.2,15.8,8.3,13.7
Cyprus,50.4,28.6,13.1,8
Latvia,37.6,22.5,18.1,21.8
Lithuania,35.3,30.9,16.8,17
Luxembourg,13,30.7,21.6,34.7
Hungary,40.4,28.3,15,16.3
Malta,54.2,24.2,7.9,13.6
Netherlands,23.7,22,26.5,27.8
Austria,29.9,32.1,16.9,21.1
Poland,40.5,23.6,13.3,22.7
Portugal,58.7,27.5,8.6,5.2
Romania,76.6,16.7,5.1,1.6
Slovenia,35.4,25.9,14.1,24.7
Slovakia,42.6,34.1,13.6,9.8
Finland,26.8,26.8,13.1,33.3
Sweden,17.9,19.1,20.9,42.1
Norway,21.1,19.3,21,38.6
Switzerland,12.7,23.4,18.3,45.7
Montenegro,76.1,13.3,6.2,4.4
Serbia,63.9,20.8,8.2,7
Türkiye,86.5,9,2.1,2.4
,,,,
Special value,,,,
:,not available,,,
