Data extracted on 09/09/2024 14:35:22 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Males,,
Age class,,From 25 to 34 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),52.3,28.3,10.4,8.9
Belgium,48.3,26.1,15,10.6
Bulgaria,70.9,15.4,8,5.6
Czechia,50.6,28.9,10.3,10.1
Denmark,25.9,46.3,15.9,11.9
Germany,:,:,:,:
Estonia,35.4,41.3,13.3,10.1
Ireland,42.2,29.6,12,16.2
Greece,57.6,32.9,5.7,3.9
Spain,48.5,35.5,9.5,6.5
France,49.8,28.1,10.8,11.3
Croatia,66.8,19.5,8.6,5.1
Italy,64.8,17,7.9,10.4
Cyprus,73,18.7,4.6,3.7
Latvia,64.2,19.4,11,5.4
Lithuania,57,30.9,7.2,5
Luxembourg,32,47.5,11.8,8.6
Hungary,57.9,28.3,7.9,5.8
Malta,63,24.1,6.9,5.9
Netherlands,34.6,37.4,20.1,7.9
Austria,40.5,36.2,12.8,10.5
Poland,55.6,23.9,10,10.6
Portugal,62.4,28.7,5.1,3.8
Romania,76,17,4.9,2.1
Slovenia,51.8,30,10.6,7.5
Slovakia,66.9,20.5,8,4.6
Finland,30.3,35.8,18.4,15.5
Sweden,29.1,38,17.5,15.4
Norway,34.5,33.9,17.4,14.3
Switzerland,19.5,41.1,19.1,20.3
Montenegro,66.9,17.7,7.2,8.3
Serbia,70.3,18.2,10.1,1.5
Türkiye,67.5,16.7,7,8.8
,,,,
Special value,,,,
:,not available,,,
