Data extracted on 09/09/2024 14:35:30 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Females,,
Age class,,From 25 to 29 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),18.9,38.5,21.6,20.9
Belgium,22,26.2,32.1,19.7
Bulgaria,25.5,31.5,28.4,14.6
Czechia,16.3,28.7,28.2,26.8
Denmark,14.4,44.5,24,17.1
Germany,:,:,:,:
Estonia,12.2,35.9,35.3,16.5
Ireland,16.8,27.2,10.1,46
Greece,22.3,43.7,22.7,11.4
Spain,18.5,48.8,19.1,13.6
France,15.8,39.3,21.1,23.8
Croatia,13.7,37.2,24.7,24.4
Italy,36,25.7,14.1,24.2
Cyprus,53.4,33.8,11.8,1
Latvia,28,31.9,18.9,21.1
Lithuania,17.7,45.1,22.6,14.6
Luxembourg,10.7,61.5,9.1,18.6
Hungary,12.9,45.2,24.4,17.5
Malta,26.6,38.6,18,16.8
Netherlands,16.2,41.5,19.7,22.6
Austria,9.8,37.3,29,23.9
Poland,9.6,34.1,26.5,29.8
Portugal,13.3,46.6,20,20.1
Romania,19,45.4,25.5,10.1
Slovenia,15,41.5,16.5,27
Slovakia,20.3,37.8,30.9,11.1
Finland,12.5,40.3,25.6,21.5
Sweden,19.9,38.4,25.2,16.5
Norway,19.8,40.3,26.5,13.3
Switzerland,3.3,34.7,26,35.9
Montenegro,22.6,29.9,32.8,14.7
Serbia,9.9,45.8,24.5,19.8
Türkiye,26,29.1,18.7,26.2
,,,,
Special value,,,,
:,not available,,,
