Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Total,,
Age class,,From 35 to 44 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),24.8,36.2,18.8,20.2
Belgium,22.3,30.1,23.5,24.1
Bulgaria,28.7,28.5,22.5,20.3
Czechia,20.4,38.7,18.3,22.7
Denmark,15,40.1,18.8,26.1
Germany,:,:,:,:
Estonia,15.2,42.3,21.4,21
Ireland,23.1,33.9,14.8,28.2
Greece,35.6,43.2,13.7,7.5
Spain,29.3,43.1,15.7,11.9
France,19.9,33.7,20.4,26
Croatia,23.6,30.7,27.6,18.2
Italy,38.6,21.4,18.2,21.7
Cyprus,55.8,27.1,11.1,6
Latvia,32.2,29.6,22.4,15.7
Lithuania,27.1,38.8,17.4,16.7
Luxembourg,16,52.9,14.9,16.2
Hungary,16.9,46,25.2,12
Malta,30,41,14.4,14.6
Netherlands,19.2,39.1,24.4,17.2
Austria,22.7,33.5,22.2,21.5
Poland,19.7,32.3,20.1,27.9
Portugal,30.4,47.6,12.5,9.5
Romania,33.5,45.6,13.7,7.1
Slovenia,24.1,35.2,15.7,25
Slovakia,29.2,43.4,14,13.4
Finland,12.1,33.3,22.5,32.1
Sweden,18.4,35.5,21.9,24.2
Norway,18.5,33.2,22.5,25.8
Switzerland,11,33,25.7,30.3
Montenegro,41.9,28.8,19.3,10
Serbia,31.1,36.5,22.8,9.6
Türkiye,36.8,26.1,15.1,22
,,,,
Special value,,,,
:,not available,,,
