Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Total,,
Age class,,From 65 to 74 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),18.5,27.8,20.3,33.4
Belgium,19.4,20.3,18.2,42.1
Bulgaria,30.4,25.4,19.7,24.5
Czechia,14.3,25.3,21.8,38.6
Denmark,10.4,33.7,23.1,32.7
Germany,:,:,:,:
Estonia,16.7,28.6,17.6,37.1
Ireland,9.8,22.7,18.1,49.4
Greece,29.1,44.1,16.8,10
Spain,17.8,36.4,20.2,25.7
France,11.3,22.1,18.1,48.5
Croatia,27.7,32,22.4,17.9
Italy,26.3,17.8,18.4,37.5
Cyprus,37.8,27.7,22.4,12.1
Latvia,26.6,24,24.4,25.1
Lithuania,23.8,31,19.2,26
Luxembourg,5.2,34,25.1,35.7
Hungary,15.5,33.2,21.3,30
Malta,25.7,19.1,22.2,33
Netherlands,14.1,24.3,31.9,29.6
Austria,17,29,17.9,36.1
Poland,14.6,26.4,19.1,39.9
Portugal,15.9,36.7,24.5,22.9
Romania,26.3,46,19.4,8.4
Slovenia,18.1,26.8,18.6,36.6
Slovakia,18.8,39.4,24.2,17.6
Finland,14.5,28.1,19.4,38.1
Sweden,13.5,18.9,23.7,44
Norway,13.6,25.3,24.5,36.6
Switzerland,9.5,23.3,23.5,43.7
Montenegro,42.6,23.8,18.7,14.8
Serbia,29.8,33.2,20.4,16.7
Türkiye,35.2,29.6,15.1,20.1
,,,,
Special value,,,,
:,not available,,,
