Data extracted on 09/09/2024 14:35:23 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Females,,
Age class,,From 16 to 24 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),28.4,33.8,19.4,18.4
Belgium,24.7,30.1,23.1,22.2
Bulgaria,39.4,28,21.9,10.7
Czechia,14.1,31.7,26.1,28.1
Denmark,20.9,45.9,21.1,12.1
Germany,:,:,:,:
Estonia,12.1,39.7,22.5,25.7
Ireland,22.4,35.4,13.7,28.5
Greece,30,45.9,13.5,10.6
Spain,24,45.4,17.8,12.9
France,22.8,33.8,20.1,23.3
Croatia,17.9,32.1,26.9,23.1
Italy,47.6,19.9,16.5,15.9
Cyprus,69.4,21.5,5.7,3.4
Latvia,23.5,29.8,27,19.8
Lithuania,14.8,36.5,34.9,13.8
Luxembourg,21.9,46.8,12.7,18.6
Hungary,29.5,35.5,20.1,14.9
Malta,34.9,40.2,9.3,15.6
Netherlands,39,24.6,20.8,15.6
Austria,21,40.6,20.1,18.2
Poland,12.6,24.4,26.8,36.2
Portugal,31.5,46.5,15.5,6.6
Romania,29.5,35.4,22.8,12.3
Slovenia,15.9,32.3,26.5,25.3
Slovakia,22.4,35.8,22.9,19
Finland,18.9,43.7,21.6,15.8
Sweden,22.2,46,14.9,16.9
Norway,23.2,47,15.9,13.9
Switzerland,14.7,37.1,22.8,25.4
Montenegro,28.2,31.9,24.6,15.3
Serbia,24.4,45.3,22,8.4
Türkiye,39.8,26.1,15,19.1
,,,,
Special value,,,,
:,not available,,,
