Data extracted on 09/09/2024 14:35:22 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Total,,
Age class,,From 65 to 74 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),48.3,23.5,11.6,16.6
Belgium,38.2,21.8,13.7,26.3
Bulgaria,62.4,19.1,9.4,9.1
Czechia,31.1,32.4,15.3,21.2
Denmark,24,32.9,17,26
Germany,:,:,:,:
Estonia,28.9,29.3,15.8,26
Ireland,33.8,24.5,11.5,30.3
Greece,63,26.2,6.5,4.3
Spain,49,29.1,10.6,11.4
France,37,24,13.1,25.9
Croatia,64.7,20.6,8.1,6.6
Italy,65.6,14,8,12.4
Cyprus,61.5,22.5,10,6
Latvia,45.8,20.4,16,17.8
Lithuania,45,28.5,13.1,13.3
Luxembourg,18.3,34.4,19,28.4
Hungary,46.8,27.2,12.1,13.9
Malta,61.2,20.5,7.6,10.7
Netherlands,29.7,22.7,24.5,23.2
Austria,36.9,30.7,14.1,18.3
Poland,51.4,20.4,11,17.2
Portugal,62.8,25.1,7,5.1
Romania,77.4,16.6,4.3,1.7
Slovenia,44.1,26.2,11,18.7
Slovakia,52.6,27.9,11.7,7.7
Finland,35.4,26.7,12,25.9
Sweden,30.2,22.4,17.7,29.6
Norway,29.7,24.6,17.7,28
Switzerland,19.5,26.1,18.3,36.1
Montenegro,76.1,14,5.1,4.8
Serbia,71.1,17.5,6.2,5.2
Türkiye,83.8,10.2,2.6,3.4
,,,,
Special value,,,,
:,not available,,,
