Data extracted on 09/09/2024 14:35:30 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Females,,
Age class,,From 25 to 34 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),19.2,38.9,21,21
Belgium,20.2,32,26.7,21.1
Bulgaria,25.3,34.5,24.6,15.6
Czechia,13.6,34.1,27.5,24.8
Denmark,15.6,41.2,24.3,18.9
Germany,:,:,:,:
Estonia,12.2,42.2,27.9,17.8
Ireland,13.8,32.6,15.9,37.7
Greece,27.4,44,19.9,8.7
Spain,19,52.2,16.5,12.2
France,15.3,40.6,20.7,23.4
Croatia,17.7,36.1,24.2,21.9
Italy,35,22.3,15,27.7
Cyprus,51.2,36.2,9.8,2.8
Latvia,23.6,33.6,21.6,21.2
Lithuania,19,42.9,21.8,16.3
Luxembourg,11.8,53.7,16,18.5
Hungary,14.6,46.5,23.5,15.4
Malta,24.2,47.7,13.6,14.6
Netherlands,17.4,40.4,21.8,20.4
Austria,15.9,36.2,22.8,25.1
Poland,10.7,32.6,28,28.8
Portugal,16.4,50.7,15.8,17.1
Romania,27.8,44.1,19.6,8.5
Slovenia,18,38.4,18.5,25.2
Slovakia,20.9,40.8,25.4,13
Finland,13.4,36.1,24.1,26.5
Sweden,21.2,35.8,22.8,20.3
Norway,16.8,38.2,23.6,21.4
Switzerland,3.3,33.7,24.4,38.7
Montenegro,22.9,34.3,28.7,14.1
Serbia,18.2,40.5,25.5,15.8
Türkiye,26,28.6,19.5,25.9
,,,,
Special value,,,,
:,not available,,,
