Data extracted on 09/09/2024 14:35:30 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Females,,
Age class,,From 45 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),15.1,31.4,22,31.4
Belgium,15.7,24.2,27,33
Bulgaria,18.7,35.7,27.9,17.6
Czechia,7.3,29.9,26.1,36.6
Denmark,8.8,32.3,22.2,36.7
Germany,:,:,:,:
Estonia,10.3,31.8,21.8,36.1
Ireland,11.7,23.4,17.7,47.2
Greece,22,48.4,19.7,9.9
Spain,17,45.1,18.7,19.3
France,10,25.4,22.9,41.8
Croatia,14,32.5,29.6,23.9
Italy,27,20.7,18.2,34.1
Cyprus,34,35.6,15.8,14.6
Latvia,20.6,27.3,26.6,25.5
Lithuania,18.1,34.6,24.5,22.8
Luxembourg,8.6,30.1,25.5,35.7
Hungary,10.8,38.1,26.4,24.7
Malta,20.8,34,18.4,26.8
Netherlands,11.2,29.5,29,30.4
Austria,9.8,28.3,22.9,39
Poland,6.8,23.2,25.9,44
Portugal,16.9,50.6,19.1,13.3
Romania,24.5,44.3,19.3,11.9
Slovenia,12.3,26,22.8,38.9
Slovakia,14.9,42.3,21.6,21.2
Finland,15.5,25.6,20,39
Sweden,11.9,29.5,23.2,35.4
Norway,12.2,27.3,24.9,35.6
Switzerland,6,20.6,19.8,53.6
Montenegro,26.4,36.6,26.9,10.1
Serbia,16.4,32.3,30.5,20.7
Türkiye,23.7,29.8,23.2,23.2
,,,,
Special value,,,,
:,not available,,,
