Data extracted on 09/09/2024 14:35:24 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Females,,
Age class,,75 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),56.1,19.9,9.8,14.2
Belgium,49.3,17.5,11.5,21.7
Bulgaria,72.3,14.1,6.9,6.8
Czechia,31.5,29.6,16.7,22.2
Denmark,23.9,29.8,17,29.3
Germany,:,:,:,:
Estonia,35.3,27.1,12.8,24.8
Ireland,32.8,28,14.4,24.9
Greece,78.1,15.3,4,2.6
Spain,62.5,23.6,5.8,8.1
France,36.9,24.8,13.4,24.9
Croatia,71.7,15.3,7.4,5.6
Italy,78.3,10,5.2,6.5
Cyprus,74.1,14.6,6.2,5.1
Latvia,52.4,15.7,13.4,18.5
Lithuania,60.6,21.7,8.9,8.8
Luxembourg,25.5,36.1,15.6,22.9
Hungary,50.3,25.9,12.6,11.2
Malta,58.4,23.3,8.3,10
Netherlands,30.1,19.4,21.6,28.9
Austria,43.8,25.1,14.1,17
Poland,54.8,16.2,11.2,17.8
Portugal,72.1,20.4,4.4,3
Romania,87,10.2,1.8,1
Slovenia,40.8,24.7,12.6,21.9
Slovakia,61.8,25.4,6.3,6.5
Finland,36.3,25.3,12.5,25.9
Sweden,34.5,19.2,18.4,28
Norway,19.1,23.1,16.4,41.4
Switzerland,20.3,26.5,18.2,35
Montenegro,89.8,6.2,2.3,1.6
Serbia,79.8,10.7,5.5,4.1
Türkiye,91.9,5.7,1.1,1.3
,,,,
Special value,,,,
:,not available,,,
