Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Total,,
Age class,,From 75 to 84 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),21.9,27.4,19.6,31.1
Belgium,27.2,15.7,16.4,40.7
Bulgaria,40.5,22.8,17.1,19.6
Czechia,14.4,28.5,22.8,34.3
Denmark,10.8,33.5,19.1,36.6
Germany,:,:,:,:
Estonia,19.9,27.9,18.3,34
Ireland,10.2,26.1,15.6,48
Greece,33,40.8,15.8,10.5
Spain,22.5,35.2,19.3,23
France,13.2,22.6,19.4,44.7
Croatia,33.6,29.2,23.5,13.8
Italy,30.4,19.1,17.5,33.1
Cyprus,31.7,37.5,8.1,22.7
Latvia,28.1,24.2,20.8,26.9
Lithuania,33.3,28.1,17.1,21.5
Luxembourg,5,49.4,13.1,32.5
Hungary,23,28.8,25.3,22.9
Malta,20.7,38.4,5.2,35.7
Netherlands,17.4,23.7,29.4,29.5
Austria,20.1,34,21.1,24.8
Poland,17.9,18.1,19.6,44.4
Portugal,17.9,40.3,17.7,24.1
Romania,37.4,35.3,17.1,10.2
Slovenia,18.5,27.1,22.6,31.8
Slovakia,29.8,35.7,15,19.4
Finland,14.8,36.4,16.2,32.6
Sweden,9.2,23.6,24.8,42.5
Norway,14.7,26,20.4,38.9
Switzerland,11.6,27.6,19.3,41.5
Montenegro,49.1,22,19.2,9.7
Serbia,38.2,28.8,19.4,13.6
Türkiye,44,21.2,18.2,16.6
,,,,
Special value,,,,
:,not available,,,
