Data extracted on 09/09/2024 14:35:30 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Males,,
Age class,,From 30 to 54 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),30.7,37,16.5,15.9
Belgium,28.6,31.5,21.6,18.3
Bulgaria,39.6,29.3,18,13.1
Czechia,26,36.9,17.2,19.9
Denmark,21.9,42.1,16.5,19.5
Germany,:,:,:,:
Estonia,23.6,43.4,16.6,16.5
Ireland,25.2,34.2,18.4,22.2
Greece,44.3,41.7,9.2,4.9
Spain,34.5,40.4,14.1,11
France,28.3,35.3,15.8,20.7
Croatia,32.1,32.3,23.5,12
Italy,37.6,23.8,18.9,19.7
Cyprus,58.8,25.5,10.8,4.8
Latvia,45.7,25,17,12.3
Lithuania,39.7,36.9,14.1,9.3
Luxembourg,18.5,48.9,15,17.5
Hungary,21.9,45.5,19.2,13.3
Malta,33.2,38.6,15.5,12.8
Netherlands,21.9,43.8,21.8,12.5
Austria,27.2,37.5,17.9,17.4
Poland,28.6,34.7,17.1,19.6
Portugal,36.8,40.4,14.3,8.6
Romania,41.9,38.7,12.3,7.2
Slovenia,34.8,35.8,13.9,15.5
Slovakia,37.3,41.8,12.2,8.7
Finland,18.8,35.8,20,25.5
Sweden,19.2,38,21,21.8
Norway,20.3,37.3,21.1,21.3
Switzerland,13.9,36.4,22.9,26.8
Montenegro,43.6,31.5,14.9,10
Serbia,44.3,36.2,15.8,3.7
Türkiye,43.2,25.1,13.3,18.4
,,,,
Special value,,,,
:,not available,,,
