Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Males,,
Age class,,From 25 to 29 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),31.8,37.4,17.2,13.6
Belgium,33.4,33.5,14.4,18.6
Bulgaria,37.1,15,23.9,23.9
Czechia,22.1,41,16,20.9
Denmark,16.5,58.6,16.9,7.9
Germany,:,:,:,:
Estonia,26.5,40.3,18,15.3
Ireland,19.6,40.5,14.9,25
Greece,39.3,43.4,11.5,5.9
Spain,34.2,43.2,13.5,9.1
France,29.9,36.5,19.2,14.5
Croatia,34.1,36.2,19.9,9.8
Italy,39.8,17.7,19.5,23
Cyprus,67.2,16.3,9.1,7.3
Latvia,56.6,26.5,9.7,7.2
Lithuania,40,48.7,7.4,3.8
Luxembourg,11.7,74,7.7,6.6
Hungary,21.3,51.4,13.1,14.1
Malta,44.9,36.3,10.4,8.4
Netherlands,30.8,37.6,24.8,6.8
Austria,26.3,43.2,19.1,11.3
Poland,27.3,34.4,18.8,19.6
Portugal,42.3,47.4,5.7,4.5
Romania,43,36.8,15.3,4.9
Slovenia,29.6,35.2,14.5,20.8
Slovakia,26.3,41.7,16.6,15.4
Finland,21.8,41.8,13.7,22.7
Sweden,21.4,44.1,22,12.4
Norway,19.6,40.6,21.4,18.4
Switzerland,8.3,37.2,26.7,27.8
Montenegro,27.1,45.2,19.5,8.2
Serbia,35.8,28.7,29.3,6.2
Türkiye,43.4,23.3,14.5,18.8
,,,,
Special value,,,,
:,not available,,,
