Data extracted on 09/09/2024 14:35:30 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Males,,
Age class,,From 65 to 74 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),23.8,29.8,19.2,27.2
Belgium,23,20.6,17.5,38.9
Bulgaria,35.9,27.7,19.9,16.5
Czechia,21,29.1,17.1,32.9
Denmark,19.8,33.2,24.8,22.2
Germany,:,:,:,:
Estonia,23.5,30.1,20,26.5
Ireland,13.7,22.3,23.9,40.1
Greece,34.9,43.1,12.6,9.4
Spain,21.8,35.9,19.6,22.6
France,15.6,26.2,18.7,39.5
Croatia,34.7,32.7,19.5,13
Italy,30.3,18.8,18.7,32.2
Cyprus,53.3,22.6,17.2,6.9
Latvia,30.7,26.6,23.3,19.4
Lithuania,37.2,32.7,11.7,18.4
Luxembourg,6.3,39,23.6,31.1
Hungary,19.2,37.2,16.4,27.2
Malta,24.6,19.7,33.3,22.3
Netherlands,17.1,28.7,28.3,25.8
Austria,23.4,30.8,16.9,28.8
Poland,21.8,28.9,18.4,30.9
Portugal,20.9,36.2,20.3,22.6
Romania,30.2,48.9,12.5,8.3
Slovenia,23.9,32.7,17.7,25.7
Slovakia,26,38.5,22.7,12.8
Finland,19.8,30.9,21.2,28.2
Sweden,21.2,23.4,21.8,33.7
Norway,17.2,28.2,23,31.6
Switzerland,12.7,28.3,23.7,35.3
Montenegro,44.4,22,16.5,17.1
Serbia,41.3,33.7,13.3,11.8
Türkiye,39.3,28,12.6,20.1
,,,,
Special value,,,,
:,not available,,,
