Data extracted on 09/09/2024 14:35:23 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Females,,
Age class,,From 25 to 29 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),32.5,34.1,16.6,16.8
Belgium,28.8,23.6,30.3,17.4
Bulgaria,44.3,25.1,19.6,10.9
Czechia,25.9,34.7,18.2,21.2
Denmark,20.4,42.5,20.3,16.8
Germany,:,:,:,:
Estonia,14.3,37.6,26.8,21.3
Ireland,28.9,21,10.3,39.7
Greece,32.1,42.4,16.5,9
Spain,29.6,45.3,14.6,10.5
France,27.8,37.1,16.8,18.3
Croatia,29.3,32.1,18.7,19.9
Italy,53.2,18,12.6,16.3
Cyprus,60.7,26.9,10.4,1.9
Latvia,35.1,26.5,17.9,20.4
Lithuania,25.5,40.4,21.9,12.2
Luxembourg,12.1,66.6,7.8,13.4
Hungary,40.5,33,15.1,11.4
Malta,38.1,36.3,15.2,10.4
Netherlands,19.7,38.6,16.1,25.6
Austria,21.2,35.1,21.4,22.3
Poland,20.2,31,24.2,24.6
Portugal,36.1,38.4,13,12.5
Romania,56.1,29.3,10.1,4.4
Slovenia,20,39.4,15.1,25.6
Slovakia,30.7,36.1,21.4,11.9
Finland,20.7,36.6,20.3,22.4
Sweden,26.7,41.7,17.7,13.9
Norway,22.5,43,18.5,16
Switzerland,10.5,36.6,24.5,28.4
Montenegro,45.2,27.4,18.1,9.3
Serbia,30.8,37.2,21.2,10.8
Türkiye,50.3,22.9,11.6,15.2
,,,,
Special value,,,,
:,not available,,,
