Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Total,,
Age class,,From 16 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),23.3,35.4,19.3,22
Belgium,22.1,29.5,23.9,24.4
Bulgaria,29,31.5,22.6,16.8
Czechia,17.3,35.3,22.1,25.3
Denmark,16.4,39.9,20.5,23.2
Germany,:,:,:,:
Estonia,15.5,39.6,21,23.9
Ireland,18.7,31.1,16.3,33.9
Greece,33.1,44.1,15,7.8
Spain,26.1,43.5,16.6,13.9
France,19.5,32.5,20,28
Croatia,24,32.8,24.6,18.6
Italy,34.6,21.4,17.6,26.4
Cyprus,53,29.5,10.9,6.6
Latvia,30.1,28.3,22.2,19.5
Lithuania,27.5,38.4,18.7,15.4
Luxembourg,14.1,47.6,17.6,20.7
Hungary,15.9,42.7,23.1,18.3
Malta,30.1,40.1,14.7,15
Netherlands,19.4,37.2,24.4,19
Austria,20.8,34.4,20.5,24.4
Poland,16.5,31.2,22.1,30.2
Portugal,26.5,46.3,15.3,11.9
Romania,31.8,42.9,15.6,9.6
Slovenia,22.7,34.5,17.7,25.1
Slovakia,25,42,18.5,14.5
Finland,15.7,32.5,20.9,30.9
Sweden,17.7,35.6,21.8,24.9
Norway,17.4,34.8,22.7,25.2
Switzerland,10.7,31.7,22.9,34.6
Montenegro,33.1,33.9,22.3,10.6
Serbia,28.3,36.7,23,12
Türkiye,34.6,26.9,16.5,22
,,,,
Special value,,,,
:,not available,,,
