Data extracted on 09/09/2024 14:35:23 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Females,,
Age class,,From 45 to 54 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),38,29.9,14.5,17.6
Belgium,32.7,21.5,22.6,23.2
Bulgaria,54.1,22.6,14.6,8.8
Czechia,20.4,37,21,21.6
Denmark,20,32.8,18.7,28.5
Germany,:,:,:,:
Estonia,17.4,36.2,22.6,23.8
Ireland,22.9,26.8,14.1,36.2
Greece,45,39.4,10.5,5.1
Spain,35.9,40.1,12.1,11.8
France,30.1,30.8,16.5,22.6
Croatia,47.6,26,15.3,11.1
Italy,54.2,19.1,10.7,16
Cyprus,55.4,28.4,9.4,6.9
Latvia,35.7,24.6,22.6,17.1
Lithuania,36.4,30.9,18.1,14.7
Luxembourg,21.8,34.9,17.9,25.4
Hungary,38.3,33.8,14.5,13.4
Malta,46.6,32.4,9.1,11.9
Netherlands,23.6,28.6,23.3,24.6
Austria,28.4,31.4,15.6,24.5
Poland,31,27.7,17.3,24
Portugal,49.1,35.7,9.7,5.4
Romania,67.5,23.4,6.1,3
Slovenia,28.7,27.3,17.8,26.3
Slovakia,34.5,39.4,15.3,10.8
Finland,16.2,29.5,20.9,33.5
Sweden,21.3,29.1,18.8,30.8
Norway,23.3,29.6,19.5,27.6
Switzerland,16.7,29.2,17.1,37
Montenegro,62.8,23.5,7.7,5.9
Serbia,56.9,25.5,12.1,5.4
Türkiye,73.5,16.7,5.3,4.5
,,,,
Special value,,,,
:,not available,,,
