Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Total,,
Age class,,From 55 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),19.8,31,19.8,29.4
Belgium,19,29,22.6,29.3
Bulgaria,26,35,19.5,19.6
Czechia,16,32.5,21.7,29.8
Denmark,15.6,34,19.1,31.3
Germany,:,:,:,:
Estonia,15.8,34,18,32.2
Ireland,14.8,21.8,17.5,45.9
Greece,29.6,44.6,16.6,9.1
Spain,21.2,40.5,18.7,19.6
France,13.6,23.4,22.3,40.8
Croatia,28.7,31,22.2,18.2
Italy,26.5,19.9,16.8,36.7
Cyprus,41.7,33.1,12.1,13.2
Latvia,30.4,23.4,21.2,25
Lithuania,24.4,35.7,21.4,18.6
Luxembourg,9.9,39.3,20.4,30.3
Hungary,12.2,37.6,27,23.2
Malta,24.4,30.8,23,21.7
Netherlands,17.4,32.1,24.6,25.9
Austria,18.2,29.9,20.7,31.2
Poland,10.3,25.7,20,44
Portugal,16.9,46.2,18.9,18
Romania,31.4,37.4,16.6,14.5
Slovenia,14.3,36.2,18,31.6
Slovakia,27.8,33.6,18.5,20.1
Finland,19,28.4,16.7,35.9
Sweden,18.1,30.2,20.5,31.2
Norway,17.2,28.1,21.8,32.8
Switzerland,13,27.5,18.8,40.7
Montenegro,32.7,31.9,24.1,11.3
Serbia,28,34.7,20.8,16.4
Türkiye,36,27.5,16.1,20.4
,,,,
Special value,,,,
:,not available,,,
