Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Total,,
Age class,,From 45 to 54 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),22.4,34.1,20.2,23.4
Belgium,22,25.4,25.3,27.4
Bulgaria,27.8,33.4,25.1,13.7
Czechia,13.4,32.3,24.5,29.8
Denmark,16.6,35.7,20.7,27
Germany,:,:,:,:
Estonia,13.4,35.6,21.8,29.2
Ireland,17,30.9,16.7,35.4
Greece,33.2,43.8,15.6,7.4
Spain,26.2,41.7,16.9,15.2
France,17.9,30,21.3,30.8
Croatia,21,34,26,19
Italy,32.6,22.9,19.3,25.3
Cyprus,45.3,31.9,12.7,10.2
Latvia,25.8,28.6,24.3,21.3
Lithuania,27.2,33.7,21.5,17.6
Luxembourg,13.9,36.4,22,27.6
Hungary,16.9,42.1,20.5,20.5
Malta,28.1,36,18.1,17.9
Netherlands,17.3,35.9,26.7,20
Austria,19.9,34.2,18.9,27
Poland,12.8,31.3,23.3,32.7
Portugal,25.5,44.3,18.9,11.3
Romania,30.3,41.5,16.8,11.4
Slovenia,19.9,30.1,21.5,28.5
Slovakia,20.9,50.7,14.8,13.6
Finland,17.1,28.2,22.9,31.9
Sweden,14.6,32.8,23.5,29.2
Norway,14.7,35.1,22.9,27.3
Switzerland,10.9,26.6,21.9,40.5
Montenegro,33.7,40.2,18.5,7.7
Serbia,28.2,36.3,23.9,11.7
Türkiye,33.7,28,18,20.3
,,,,
Special value,,,,
:,not available,,,
